Date received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,Company public response,Company,State,ZIP code,Tags,Consumer consent provided?,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID
84376,2015-03-19,Credit card,,Other,,"Mel S. Harris & assoc. used deceptive collection practices while attempting to collect on a purchased debt. Once initial contact had been made and a discussion on solutions to resolve the debt, the attorney office sent out a summons for an appearance in court. The representative had advised us that "" we should not worry because we will receive several of these notifications. '' However, there was a case filed in the city court and required an immediate response to avoid a default judgment. This summons was used as a collection tool while in mutual good faith discussion on how to repay the debt. The representatives refused to discuss reasonable payment arrangements and told us to deal with the courts. When I inquired as to why a summons was sent out while we were talking to their agency in good faith I was hung up on. After calling back XXXX times I was finally connected to a supervisor who again tried to tell me not to worry about the summons. As I inquired further as to the reason of the summons I was hung up on again. I was hung up on a total of XXXX times while asking to speak to a manager or an attorney within their office. This debt is over XXXX years old and was supposedly incurred by my mother in law who is on a fixed income and under the care of XXXX. Every time I had requested documentation or verification of the debt I was told to deal with it in court -- even though I was assured prior, that nothing had been sent or filed with the court! I am an advocate for my mother in law while dealing with what I consider to be an unprofessional and unscrupulous debt collector. The summons was sent just to solidify their subtle threats of garnishment, liens, or any other means at their disposal. My concern is that this would appear to be a regular occurrence with this agency. Once the attorney office makes contact with a consumer they issue a summons to scare the debtor. My mother in law was served on XXXX/XXXX/15 ; we had started discussing the debt on XXXX/XXXX/15 which means they ordered it while we were discussing in good faith our options on the debt. Mel S. Harris & assoc is using the power and intimidation of the summons and the court system as a scare tactic and collection tool to coerce and discriminate against consumers",,"Mel S. Harris and Associates, LLC",NY,14094,Older American,Consent provided,Web,04/01/15,Closed with explanation,Yes,No,1290606
84418,2015-09-09,Credit reporting,,Credit reporting company's investigation,No notice of investigation status/result,"ACCOUNT XXXX/XXXXACCOUNT ACTUALLY OPENED NOT IN XXXX OR XXXX, BUT IN XXXX. 
XXXX is trying to re-age the debt, even though it was discharged in a Chapter XXXX bankruptcy petition. This is a practice highly scrutinized by the Federal Trade Commission. 
The credit bureaus have not done a proper reinvestigation on this credit trade line. All XXXX credit bureaus have a different start date, initial first late start date and end date. 
The account is over XXXX months since its first late payment, and must be deleted under the Fair Credit Reporting Act 7-year rule. 
I REQUEST A FULL REINVESTIGATION TO CLARIFY MY STATEMENT THAT THIS TRADE LINE HAS OUTLIVED THE 7-YEAR MANDATE FOR REPORTING OF NEGATIVE INFORMATION!!!",Company chooses not to provide a public response,Experian Information Solutions Inc.,NY,12010,Older American,Consent provided,Web,09/10/15,Closed with explanation,Yes,No,1557640
84503,2015-10-23,Credit card,,APR or interest rate,,"I have a citibank credit card. On my XX/XX/XXXX billing statement, I made a payment of {$1600.00} on XX/XX/XXXX for a balance of {$2600.00}. The remaining balance was {$1000.00}. The payment due date for this statement was XX/XX/XXXX. I realized that the remaining balance was still not paid and paid the remaining balance on XX/XX/XXXX. My billing statement for the next month reflected both payments and an interest charge of {$20.00}, and no carried balance. The balance was paid in full by the time the billing statement arrived. I paid the full balance of new purchases this billing statement, and the {$20.00} interest fee and carried no balance. On the next month 's billing statement, I received an additional {$14.00}. The bank claims this was residual interest, but I did not carry a balance, and the only balance I did carry was {$1000.00} from XX/XX/XXXX and the date I made a payment on XXXX.",Company chooses not to provide a public response,"CITIBANK, N.A.",NY,10021,,Consent provided,Web,10/23/15,Closed with monetary relief,Yes,No,1622117
84509,2015-04-03,Credit card,,Billing disputes,,"I have paid Barclay bank XXXX for XXXX months. I have paid what I believe to be the monthly charge plus extra toward my past due balance. I have a statement sent to my email monthly from Barclay with a link to log on and see statement. I do not remember my log on information. I have called the company to request help and am directed to a collection agency that will not give me my full account information or any other assistance to log on and see account. They state they do not have access to that information as they are a collection agency. They will not connect me to Barclay Bank to request assistance stating Barclay does not have my account, yet they send me an email monthly with statement. I am unable to switch to paper statements as I do not know the account number. Someone from this account calls me daily for collections despite my paying weekly.",Company chooses not to provide a public response,BARCLAYS BANK DELAWARE,NY,109XX,,Consent provided,Web,04/03/15,Closed with explanation,Yes,No,1315052
84600,2015-04-18,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,"Wells Fargo Bank is holding a refund of {$3800.00} due to me from a refund of private mortgage insurance. When I contacted Wells Fargo I was told the refund was credited to my escrow account, which at the time had a {$1.00} shortage. I have spoken with XXXX different supervisors and have submitted a complaint in writing. It is my understanding, by law, Wells Fargo has 45 days to process the private mortgage insurance refund. I received a letter dated XXXX XXXX, XX/XX/2015 informing me of the refund. As of XXXX XXXX, XX/XX/2015 I have not received anything, putting them well past the 45 day time period. I have also been informed that a bank can not withhold money due to a customer from a PMI refund and apply it to a different account.",,WELLS FARGO & COMPANY,NY,120XX,,Consent provided,Web,04/18/15,Closed with explanation,Yes,No,1336246
84763,2015-11-14,Credit card,,Advertising and marketing,,"Discover promised a 10 % cashback on up to {$10000.00} worth of in store XXXX purchases. 
I made those purchases, but I am receiving a email accusing me of spending on non qualified gift cards. ( As a side note, they added that clause after the promo was out ... ) 1 Its my privacy, they have no business what I purchase2 Just because I bought expensive XXXX products, does n't mean it 's a gift card. 
I have a friend who bought a XXXX at XXXX, its a high dollar amount, so they accused him of a gift card purchase. 
Not right. Intrusion of privacy. And just bad for a credit card company who we trust with so much information, to demand even more information, and to lie about their public promos. 

I want my 10 % cashback, and I want it doubled at years end just like their promo says!",,DISCOVER BANK,NY,11210,,Consent provided,Web,11/14/15,Closed with explanation,Yes,Yes,1655543
84787,2015-04-24,Bank account or service,Checking account,Problems caused by my funds being low,,"Monthly fees of {$15.00} were taken out of my checking account starting in XX/XX/XXXX through XX/XX/XXXX without my knowledge. Bank 's explanation was these fees accrued because a minimum balance was not maintained. 
I informed Citizen that I 've had a checking account for over XXXX years and I was never told there was a minimum balance requirement. I was told the reason was, I had an additional mortgage account and because of that, the minimum balance was n't a requirement. After my mortgage was paid off, I had to keep a minimum balance in my account. 
My concern is that I was never notified of this, nor told that once my mortgage was paid off I was required to maintain a minimum balance. I was also told I signed up for electronic monthly statement and this is not correct either. 
I am respectfully requesting that all my funds which were taken out for fees, be replaced in my checking account. Fee amounts total approximately {$180.00}.",,"CITIZENS FINANCIAL GROUP, INC.",NY,14094,,Consent provided,Web,04/24/15,Closed with monetary relief,Yes,No,1346217
84828,2015-08-13,Debt collection,Non-federal student loan,Communication tactics,Used obscene/profane/abusive language,"I have been having terrible financial difficulties for a couple of years now and have n't been able to pay off my debts in a timely manner like I used to. For one debt, I have been receiving letter after letter, phone call after phone call from a debt collector trying to collect the debt. That 's OK -- that 's their job and we do owe the money. However, yesterday, the lady from the debt collection agency called the co-signer on one of my loans and berated and harassed him, using mean and abusive language. She even suggested that he put his land and house up for sale or put it up as collateral to help pay off our loan. That is taking it way too far and is absolutely uncalled for. In addition, when they leave messages on our phones, they do n't do what every other debt collector does : say that the message is intended for someone in particular and if the person listening is not the intended recipient of the call then he/she should hang up. Instead, they just start spouting personal information, like the name and the account number of the debtor and then say that it is an attempt to collect a debt. I am appalled by the divulgence of my personal information in a voicemail message.",,"SIMM Associates, Inc.",NY,14624,,Consent provided,Web,08/13/15,Closed with explanation,Yes,No,1517229
84830,2015-06-26,Bank account or service,Checking account,"Account opening, closing, or management",,"We moved to a new neighborhood and got a letter from Citizens Bank offering a XXXX dollars direct deposit checking account bonus if we make another any deposit within 45 days after the first opening deposition. 
I went in to a local branch. A rep there helped me to open an account, and enrolled me with an overdraft insurance ( XXXX bucks ) without even telling me, and charged XXXX dollars maintanence fee each month since I did not deposit enough money the XXXX time.Ane he gave me XXXX dollars for opening that account. 
And then I went in a few days later to deposit enough money so I could be waived for XXXX bucks for maintanence. The rep promised me to credit me back that XXXX bucks, and the XXXX bucks after I told him I do n't want that. 
After a few months, I checked my account, and found the XXXX total bucks were never credited back to me. I called the rep, he promised to refund me again. 
Again after a couple of month, I contacted him the XXXX time. He promised to do it again. 
As of today, it has been more than 7 months after I opened that account, and I have never received that XXXX dollar bonus as promised to be credited within 4 months, and I still never got back that XXXX bucks, and I am leaving this area soon, I finally went to talk with that rep face to face. 
He finally credited me that XXXX bucks he should have never charged. But he did not give me that XXXX bucks. The reason he gave me is following after he talked to someone on the phone : The XXXX dollars opening bonus he gave me cancelled out my XXXX bucks bonus!! 

I said why do n't you cancel that XXXX bonus and let me have the XXXX bonus then. He said that is a done deal and he can not change it. 

I clearly showed him the XXXX bonus certificate when I went to open that account!!! 
I guess that is how citizens bank honor their opening bonus. A very disappointing experience from me.I almost lost XXXX bucks instead of getting XXXX. What a joke.",,"CITIZENS FINANCIAL GROUP, INC.",NY,14221,,Consent provided,Web,06/26/15,Closed with monetary relief,Yes,No,1440400
84988,2015-05-08,Debt collection,Credit card,Taking/threatening an illegal action,Threatened to sue on too old debt,XXXX XXXX XXXX has filed a suit against me and I ca n't afford a lawyer or to pay back the money I owe to Get capital bank usa na they are threatening me with taking property from that I do n't have they call me 2 months ago and I told them I will not be able to pay them back and they still threatened me,,SYNCHRONY FINANCIAL,NY,124XX,,Consent provided,Web,05/08/15,Closed with explanation,Yes,No,1367997
85040,2015-06-30,Credit reporting,,Incorrect information on credit report,Personal information,"One of the addresses on my report ( XXXX XXXX XXXX XXXX, KY XXXX ) is incorrect. I do not reside there, nor have I ever lived anywhere near KY. Please see report attached, and have it removed ASAP!",,"EQUIFAX, INC.",NY,10031,,Consent provided,Web,06/30/15,Closed with explanation,Yes,No,1444988
85072,2015-06-22,Bank account or service,Checking account,Using a debit or ATM card,,I used to have an account with M and T. Over XXXX years I closed the account and cut up my bank card. XX/XX/XXXX or XX/XX/XXXX I cleared up all my debt which also verified that I had no open accounts or outstanding balance with them. Just today I received a call from them stating that my bank card was used and they wanted to verify that I was the one who used it. This means that the bank reopened my account and issued a new card under my name without my consent.,,M&T BANK CORPORATION,NY,144XX,,Consent provided,Web,06/22/15,Closed with explanation,Yes,No,1431164
85127,2015-03-30,Mortgage,Home equity loan or line of credit,"Loan servicing, payments, escrow account",,"In 1996 I bought a house for myself and XXXX children. I was a single mother and was living on XXXX for XXXX XXXX. Me and my children recently came out of a XXXX. Finding this house and being able to buy it on land contract was nothing short of a miracle. I paid for the house in three years. The house was only 15,000 dollars which meant a lot of work needed done. I had yard sales and bought pipes and what I needed to fix the big issues. My youngest child was XXXX years old and very delayed in speaking, walking, talking. Lead testing in children became mandatory. I took my son for his lead screening and found out he had XXXX. Environmentalist came to my house and determined the lead came from our home. Lead abatement needed to happen immediately. I called everywhere trying to get help. My yard sales were not gon na fix this. I needed 12,000 dollars right away to abate lead or we had to leave the house. All I could think of is my XXXX kids and me living in that car again. There were no programs for lead abatement. I found a mortgage company XXXX XXXX who offered to help. I told them I needed 12,000 dollars to abate my house of lead. XXXX months latter which seemed like forever they were ready to sign papers. By this time I had exhausted every possible way to stall the environmentalist from making us leave our home. I enrolled my son in a XXXX and took XXXX at home so he did n't get XXXX. I ripped out as much of the lead as I could without money. I arrived to sign closing papers. XXXX told me they had to lend me 19,000 dollars to pay off bills. When XXXX was finished deducting what the loan cost me I recieved a check for 6,000 dollars. Was n't even close to what I needed for the lead. I signed the papers desperate to get things back to normal. The money did n't last long. Everything I removed from house had to be put back up to code. I had to remove a whole section on back of my house. Everything I did cost money taking lead out, hauling it away and putting the structure back. XXXX XXXX raised my payments with escrow from XXXX to XXXX. XXXX XXXX did n't charge enough during closing for taxes and insurance. I was trying to abate lead with my XXXX money and pay mortgage. Both were vital in having a place to live. My son was getting better. He XXXX which made his XXXX. Trying to keep it together I tried keeping up with mortgage payments and lead abatement while caring for my XXXX healthy children and my son who needed more of me than anyone. I missed mortgage payments and would abate lead. Then XXXX even XXXX payments giving the mortgage company all I had taking money from the abatement to pay mortgage. XXXX started charging me fees of all kinds and for all reasons causing the mortgage payments to go up. Payments went from XXXX to XXXX to XXXX to XXXX. Principal staying at XXXX. I could n't keep up. I fought with XXXX about all the fees and got no where. My mortgage was sold to emc mortgage and things got worse. Still sending payments as much as I could but the escrow kept getting larger and larger. Emc ignored me and any letters I wrote. I hired an attorney to help me for very little money. Emc would ignore him too for months. Finally my lawyer had enough, telling me I ca n't afford to fight them they had lawyers on staff. I had no knowledge of mortgage anything. I did n't even know what a interest rate was until my attorney was in disbelief my rate was XXXX. Somthing percentI remarried and was raising my husbands XXXX kids with my XXXX. My husband worked in the XXXX and was gone a lot leaving me to deal with the mortgage company. My youngest was still struggling in school and the Dr diagnosed my son with XXXX",,JPMORGAN CHASE & CO.,NY,147XX,,Consent provided,Web,03/30/15,Closed with explanation,Yes,Yes,1306513
85220,2015-05-10,Debt collection,Medical,Disclosure verification of debt,Not disclosed as an attempt to collect,"Under a recent direct of all XXXX credit reporting agencies, on behalf of a collective effort of the Federal Trade Commission and the Consumer Financial Protection Bureau, all medical collections can not be posted on a consumer 's credit report until the following criteria is established : The consumer must be given an updated invoice by the service provider, stating that he/she has 30 days to rectify the balance personally or through insurance coverage. 
The service provider must state that the invoice will not go into a collection status until the 30-day timeline has been completed, and a specified date must be given to the consumer. A service provider can not submit a medical invoice to a licensed debt collector until after the 30-day timeline has been completed, without exception. 
If the 30-day time has passed, the service provider can at that time turn over the invoice to a licensed debt collector in the consumer 's residency state. 
The debt collector must submit a written notice of collection, stating that the consumer has 180 days to either rectify the debt personally, settle the debt amicably, or to expedite that an insurance carrier will pay the medical claim. The debt can not be posted on a credit bureau for collection until the 180-day timeline has passed, also without exception. 
I hereby state that the attached medical collection is now illegal, and that the new collection guidelines for medical debts are applied to existing collections. The old collections and their processes were not grandfathered in by the change in policy by XXXX XXXX and XXXX XXXX respectively. That means all medical debts come off my report and that I must be given a fair chance to rectify the debt through the previously mentioned criteria.",Company believes it acted appropriately as authorized by contract or law,"Commonwealth Financial Systems, Inc.",NY,12180,Servicemember,Consent provided,Web,05/10/15,Closed with explanation,Yes,No,1368631
85253,2015-05-18,Credit reporting,,Credit reporting company's investigation,No notice of investigation status/result,They still have old information XXXX on my credit. I no longer have a file with them so it is wrong they have it on my credit. Not only they have fraudulent collection on my credit for a credit card I never used with XXXX XXXX XXXX. They refuse to deal with that fraudulent information as well that XXXX is not my charge and if they would do their investigation and call bank XXXX they would see it 's a fraud case and XXXX XXXX XXXX was sending my statements to somewhere in fl and I live in ny. I posted valid information below.,Company chooses not to provide a public response,Experian Information Solutions Inc.,NY,11772,,Consent provided,Web,05/18/15,Closed with non-monetary relief,Yes,No,1379786
85299,2015-05-27,Bank account or service,Checking account,"Account opening, closing, or management",,Earlier this month Wells Fargo Bank froze and closed my checking and savings account due to suspected fraud because my boss had me deposit some checks for him. Rather than the bank notify me or simply reject the deposit they have closed my accounts without releasing the funds and reported me to XXXX for suspected fraud. Since this occurred My other bank closed out my checking account and the new bank I tried denied me. I want this removed from the system somehow as it was not fraud and I am not in a financial position to hire a lawyer to sue them for all of the harm this is causing as I can not access my money that was in the accounts and have not been able to receive my payroll as there is no bank to route it to. Please help me I do not know what to do.,Company chooses not to provide a public response,WELLS FARGO & COMPANY,NY,125XX,,Consent provided,Web,05/27/15,Closed with explanation,Yes,No,1393340
85335,2015-08-15,Debt collection,Auto,Disclosure verification of debt,Right to dispute notice not received,Account is time barred.,Company chooses not to provide a public response,"Rubin & Rothman, LLC",NY,11365,,Consent provided,Web,08/17/15,Closed with explanation,Yes,No,1520499
85376,2015-06-25,Credit reporting,,Unable to get credit report/credit score,Problem getting my free annual report,"What is this XXXX? Experian XXXX did n't even try to verify my identity online on this site XXXX XXXX XXXX. They just automatically told me I had to request by mail? XXXX verified my identity, and gave me my report online immediately! They did n't ask me any questions or do any of the other things required of them! I can access my credit reports from other online websites no problem, and did yesterday but not from this site XXXX. It 's complete XXXX! They already have my info. XXXX gave me access to my free credit report instantly online on this site XXXX. 
Every other company under the sun can access my stuff but they block me from accessing it, unless it 's on a pay site! It 's not just me either. I know other people with the same dam problem. They are just turning this site XXXX into a scam to drive people to their pay sites! 

We 're sorry, for your protection we are unable to deliver an Experian Free Annual Credit Report over the Internet. 


We were unable to honor your request. If you entered your credit card information, we did not charge you. 
Sending us your informationTo receive your personal credit report by mail, please mail us this letter XXXX or the information in it XXXX, along with onecopy of a government issued identification card, such as a driver 's license, state ID card, etc., and XXXX copy of autility bill, bank or insurance statement, etc. Make sure that each copy is legible, displays your name and currentmailing address, and the date of issue XXXX statement dates must be recent ). We are unable to accept credit cardstatements, voided checks, lease agreements, magazine subscriptions or postal service forwarding orders asproof. To protect your personal identification information, Experian does not return correspondence sent to us. 
Send copies of any documents you wish to provide to us and always retain your original documents. 
If you are purchasing your credit report, enclose your check or money order for {$13.00}. 
If you wish to purchase your XXXX XXXX XXXX XXXX report provided by Experian, enclose your check or money order for {$8.00} XXXX includes state sales tax where applicable ). XXXX is owned by XXXX XXXX, XXXX. 
Mail this form, along with payment ( if applicable ) to : ExperianXXXX XXXX XXXX, TX XXXX [ ] Check here for overnight delivery and include anadditional {$20.00} overnight processing fee. [ ] Check here to authorize delivery of overnightpackage without obtaining signature.",Company chooses not to provide a public response,Experian Information Solutions Inc.,NY,140XX,,Consent provided,Web,06/25/15,Closed with non-monetary relief,Yes,No,1437471
85425,2015-05-22,Credit card,,Unsolicited issuance of credit card,,"On XXXX XXXX, I made a purchase at XXXX online. I had received an email from my paypal smart connect credit account that if I made a purchase between XXXX and XXXX, I would receive a {$10.00} credit. So I got a total of {$72.00} purchase and attempted to check out as a guest through paypal. My paypal credit card XXXX Smart connect XXXX did n't show up for finalizing the transaction. I went back and logged into my XXXX account and paypal came up so I checked out, thinking it was my paypal credit account XXXX smart connect XXXX. I do n't remember anything that stuck in my mind to let me know I was signing up for a new credit line. I have had credit issues in the past, so the credit cards I have now are the only ones I want. I never sign up for new cards. I want to purchase a new house in the future and do n't want to compromise my credit score. I emailed back and forth with paypal after I received the paper credit statement of the purchase and which showed no balance. I know I have a balance on my smart connect, so I could n't figure this statement out. I also do n't receive paper credit card statements. Emailing did n't help, just was more confusing as they told me I could only have XXXX credit card linked to paypal and that I could like the paypal credit after disconnecting smart connect. What? I called paypal to see if I could move the paypal credit balance to my paypal smart connect. the person I spoke to, XXXX, could n't even find this purchase anywhere XXXX and I think she said that paypal could n't transfer the balance anyway between the XXXX credit lines XXXX, so she forwarded me to XXXX at Paypal credit. He said I could pay off the balance and close the paypal credit account. I asked if this affects my credit score and he said that they did do a credit check before they issued the paypal credit. I was so upset after speaking with him and venting to him and asking if this is what the paypal scam on the news is about. Then I hung up. Can I be added to the lawsuit that cfpb has filed against paypal?",,"Paypal Holdings, Inc",NY,148XX,,Consent provided,Web,05/28/15,Closed with explanation,Yes,Yes,1388640
85607,2015-10-25,Credit reporting,,Credit reporting company's investigation,No notice of investigation status/result,"I have filed multiple complaints XXXX on this going all the way back to XXXX and have filed multiple complaints on XXXX TransUnion XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX, XXXX, XXXX XXXXTransunion.com XXXX, XXXX XXXX Fax : XX/XX/XXXX Additional documents being mailed. 
Dear Ladies and Gentlemen ; The reason you have received this letter and old copy of my TransUnion credit report is due to the multiple, nearly monthly credit reports disputes regarding XXXX formerly known as XXXX. 
The letter by an unidentified individual at TransUnion clearly states that "" Our goal is to maintain complete and accurate information on Consumer credit reports. '' It goes on to state that the company reviewed my information and "" After reviewing XXXX complaint, we are unable to process his request because we were not able to determine the nature of his dispute. In order to investigate information contained in his report. Please XXXX provide us with the specific account name and number and specify why he is disputing it. "" I have made myself clear for almost three years now, the amount of the XXXX formerly XXXX automobile account is wrong, the nature of the account is also wrong. This item considering the fact that obviously the account is being reported incorrectly and has been for some time, nearly two years, should be removed from the credit report now and forever. 
This specific matter was clearly described on a multitude occasions The balance of the account was wrong, and I was absolutely clear on this matter and frankly am surprised that this is still an issue. 
I have communicated with the lawyers for XXXX formerly known as XXXX and it was clearly an issue where XXXX restructured the financing on an automobile account and moved XXXX delinquent payments to the end of the contract and later when I dealt with XXXX debt collector 's I entered into an agreement with the debt collector for a settlement of XXXX of with at least XXXX has been paid. This matter was reinforced later by the attorneys for XXXX XXXX and I entered into litigation that was settled out of Court. 
In addition, the automobile was repossessed and the fact that the automobile was collected and resold XXXX, XXXX. The automobile was sold for the amount of $ XXXX have sent another copy of the credit report that is in dispute to your attention with the account under dispute clearly and boldly circled with arrows and the words XXXX '' If there is any misunderstanding or confusion, please contact my XXXX XXXX XXXX XXXX at XXXX. Or email XXXXXXXXXXXX, XXXX XXXX XXXX",Company chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",NY,14150,,Consent provided,Web,10/28/15,Closed with explanation,Yes,Yes,1623080
85633,2015-05-14,Debt collection,Credit card,Disclosure verification of debt,Not given enough info to verify debt,"On Friday XXXX XXXX I signed on to the online banking to check my account when I noticed that my savings balance and available balance were XXXX different figures. I called the bank immediately and was told there was a court restraint on my account. I asked what this meant and I was given a collection agency to call XXXX to get assistance. I called the collection agency and was told they had a judgment against me from XX/XX/XXXX in my maiden name. I asked for some kind of information about this so I could check into it. The name is my maiden name and my address was wrong. All I was provided was the account was opened in XX/XX/XXXX and that the court awarded them a judgement in XX/XX/XXXX. This was the XXXX time I heard of this, I even asked if she was sure it was me and not my ex husband. She asked if I had an attorney to speak to which I did n't. They had put a hold on my savings account in the amount of {$1900.00} but the judgment I finally got a copy of shows the amount of {$1700.00} and there is actually due {$1300.00} but I was n't given anything to back up this claim. The agent explained that she will send a form to the bank for me to sign which will allow the bank to send them the money and release the hold on my account. She insisted I do this quickly because the hold will stay on my account and I wo n't be able to use my bank. I was so scared I went ahead and went to the bank to sign this form. I am curious though why the judgment had XXXX amounts on it and they took even more money. I have enclosed all the forms I have. 
Thank you",,ENCORE CAPITAL GROUP INC.,NY,125XX,Servicemember,Consent provided,Web,05/14/15,Closed with explanation,Yes,No,1375916
85753,2015-06-25,Bank account or service,Other bank product/service,"Account opening, closing, or management",,"- Had to get a new account last year ( 2014 ) due to fraud. 
- I had a line of credit attached to the account that had to be closed, and was denied application for the same line of credit on my new account. 
- XXXX month after closing my account and being sure that all my automatic payments, etc., had been updated, I went to a Citibank branch to close the account. 
- I explicitly asked if my ability to repay the balance on the line of credit would be affected, and was told, definitively, "" No, it would not. "" - The automatic payments that I had setup in those XXXX months from new account stopped processing because the line of credit was closed. 
- When I realized, I called the bank and tried to setup automatic payments again. I was told that they were setup, and I had a XXXX late fees taken back by the bank. 
- Months later, I got a notice stating that I had missed XXXX payments in a row ( did not receive intermittent letters before then ) ; I had n't noticed because ( 1 ) I was told that automatic payments had been setup, and ( 2 ) I no longer have access to the account online so could not check to see if payments were being made, and ( 3 ) did not get a notice from the bank until XXXX payments were missed. I tried to have these late payments taken back, but was denied. 
- It was at this time that I spoke to the collections dept, and was able to negotiate an agreement whereby I made XXXX specific monthly payments that we set up on the spot, and then I would have my account brought back to current, and then I could go about making regular payments again. 
- While paying the debt-collection payments setup by the bank over the phone, i continued to receive late payment charges, even though I was paying EXACTLY according to the plan they setup ( there was literally no other option without me calling to cancel, which did not happen ). 
- Tried to get those late charges taken back, and was denied, despite the fact that it was clearly the bank 's fault. 

This has affected the amount of interest I 'm being charged, my overall balance due to late fees, and my credit score. I would sincerely like to change banks, but the switching costs are prohibitive due to my affected credit score, and my worry that I will not be able to make payments on the closed account with a non-Citibank account.",Company chooses not to provide a public response,"CITIBANK, N.A.",NY,11238,,Consent provided,Web,06/25/15,Closed with monetary relief,Yes,No,1438323
85981,2015-10-31,Debt collection,Credit card,Cont'd attempts collect debt not owed,Debt is not mine,"While reviewing my credit report, I noticed that a collection has been reported on my file by XXXX. 
However, I respectfully dispute the validity of the debt.I request validation of this debt as required under Fair Debt Collection Act ( 15 USC 1692g ), and also, I am requesting that XXXX., provide me with all verifiable evidence, including but not limited to signed documentation by me obligating me to this unpaid invoices. 
Furthermore, I request that the Agency provide me with the name and address of the original creditor if the creditor is not the one listed above. 
To this extent, upon belief and information, this account is as a direct result of ID THEFT, as such I am not liable to the debt. I never signed or consented in anyway to this debt.",Company can't verify or dispute the facts in the complaint,"Colony Brands, Inc.",NY,11434,,Consent provided,Web,12/14/15,Closed with explanation,No,No,1632758
85996,2015-03-30,Credit reporting,,Incorrect information on credit report,Account terms,"I have written the credit reporting agenecies XXXX and XXXX numerous times in the past serveral months about a company reporting a debt on my file from XXXX XXXX that sent me a letter stating and i quote as it states in the letter "" To XXXX XXXX the purpose of this letter is to advise you that XXXX XXXX XXXX XXXX has closed the above referenced account and will no longer be collecting on this account including account from original creditor XXXX XXXX XXXX XXXX You have no further financial obligation regarding this account. '' It further states that all credit bureaus have been notified ( ExperianXXXX, and XXXX ) to remove this item and correct this from your credit report. I immediately contacted the credit bureaus and they have refused to remove items as directed by the creditor as of yet. As this has brought down my credit score drastically being it was a collection acct.and caused me to to be unable to get loans for cars, mortgages, ect. I demand that you inform these companies of the fact that this needs to be removed immediately.I have an open litigation against XXXX in Civil Court that is pending as of now, as they have refused to remove another XXXX of the accts. on my file XXXX Bank bank loan that has been placed on my credit file that is not mine, they have been asked to removed numerous times and have refused. These companies have cost me thousands of dollars from getting loans ect.",Company chooses not to provide a public response,Experian Information Solutions Inc.,NY,103XX,,Consent provided,Web,03/30/15,Closed with explanation,Yes,No,1306504
86003,2015-12-08,Debt collection,Credit card,Communication tactics,Frequent or repeated calls,"About a year ago, I financed services through XXXX XXXX XXXX through XXXX XXXX. Roughly a year ago, XXXX XXXX XXXX abruptly closed and I never recieved any of those services. XXXX XXXX has since started harrassing me to collect this debt. I have expressed to XXXX XXXX that I did not recieve any of the services and their response was that it was not their problem. They also threatened to use legal action against me if I did not pay. I then told them that I will contact them to reach a resolution and until then I do not want to be contacted by them. However, they have continued to call me repeatedly using the telephone number above and various other phone numbers. It has become increasingly difficult to use my phone because of the number of harrassing calls I keep recieving from them.",Company believes it acted appropriately as authorized by contract or law,"Retrieval-Masters Creditors Bureau, Inc., Elmsford, NY Branch",NY,115XX,,Consent provided,Web,01/04/16,Closed with explanation,Yes,No,1688053
86042,2015-08-28,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,"I had a forbearance agreement with XXXX mortgage. my loan transferred to penny mac and they said they never received the agreement, XXXX mortgage sent all the forbearance agreement paperwork to penny mac. When I called penny mac they said there was no agreement and i had to pay the total past due or do a short sale. They never honored the agreement or applied the money i paid for the forbearance to the loan. I tried resolving this problem with penny mac before i did a deed and leau and after with no success. Every time there is new information brought to there attention they just change what they were saying. XXXX mortgage proved to them in a cfpb case that I had a good agreement and penny mac stated that i maid no mention of the forbearance agreement in my deed in leau request. I told XXXX XXXX about in on the phone and in my application process. penny mac chose to ignore the agreement in XX/XX/XXXX and in XX/XX/XXXX. My credit report shows i made no payment to them and i owe XXXX and past due XXXX. I could never make a payment because penny mac would n't accept any payment unless i would bring the account current in XX/XX/XXXX which was impossible because i paid XXXX and XXXX in the forbearance agreement to XXXX mortgage. my only option was a short sale which was unacceptable to me because it was there mistake or predatory lending practices. I have sense received a letter from penny mac saying my loan is paid in full and it 's stamped on my deed. yet my report still shows the mortgage as open and I owe money. Penny mac has cause a lot of turmoil for my young children myself and caused a divorce from financial stress due to bad credit. and still does I was also lied to during the deed in leau process by XXXX XXXX. He stated my loan would be reported as paid in full and a deed in leau would n't affect my credit like a foreclosure, and I 'd be able to buy a house much sooner than a foreclosure which were all lies.",,"PENNYMAC LOAN SERVICES, LLC.",NY,129XX,,Consent provided,Web,08/28/15,Closed with explanation,Yes,No,1541554
86100,2015-05-21,Consumer Loan,Vehicle loan,Managing the loan or lease,,They took the car I do not owe them anything else.,,BBVA FINANCIAL CORPORATION,NY,122XX,,Consent provided,Web,05/27/15,Closed with explanation,Yes,No,1388110
